schema fln-imported-tag-queries/1
oracle	4.32.0	8c9756b28d64dab099da31a4c09229a9e6a2ef35
module	Init.Prelude	private
binding	elab_without_expected_type	Lean.Elab.Term.elabWithoutExpectedTypeAttr	a/s4c65616e/s456c6162/s5465726d/s656c6162576974686f757445787065637465645479706541747472
query	elab_without_expected_type	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	computed_field	Lean.Elab.ComputedFields.computedFieldAttr	a/s4c65616e/s456c6162/s436f6d70757465644669656c6473/s636f6d70757465644669656c6441747472
query	computed_field	a/s4c65616e/s4e616d65/s68617368	true
query	computed_field	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	no_fallback	Lean.Elab.Tactic.noFallbackAttr	a/s4c65616e/s456c6162/s546163746963/s6e6f46616c6c6261636b41747472
query	no_fallback	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	spec_invariant_type	Lean.Elab.Tactic.Do.SpecAttr.specInvariantAttr	a/s4c65616e/s456c6162/s546163746963/s446f/s5370656341747472/s73706563496e76617269616e7441747472
query	spec_invariant_type	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	incremental	Lean.Elab.incrementalAttr	a/s4c65616e/s456c6162/s696e6372656d656e74616c41747472
query	incremental	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	library_suggestions	Lean.LibrarySuggestions.librarySuggestionsAttr	a/s4c65616e/s4c69627261727953756767657374696f6e73/s6c69627261727953756767657374696f6e7341747472
query	library_suggestions	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	coe_decl	Lean.Meta.coeDeclAttr	a/s4c65616e/s4d657461/s636f654465636c41747472
query	coe_decl	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	match_pattern	Lean.matchPatternAttr	a/s4c65616e/s6d617463685061747465726e41747472
query	match_pattern	a/s556e6974/s756e6974	true
query	match_pattern	a/s484d756c/s684d756c	true
query	match_pattern	a/s426974566563/s6f664e61744c54	true
query	match_pattern	a/s484571/s72666c	true
query	match_pattern	a/s416464/s616464	true
query	match_pattern	a/s426974566563/s6f664e6174	true
query	match_pattern	a/s4c697374/s746f4172726179	true
query	match_pattern	a/s496e76/s696e76	true
query	match_pattern	a/s48416464/s68416464	true
query	match_pattern	a/s4d756c/s6d756c	true
query	match_pattern	a/s4e6174/s616464	true
query	match_pattern	a/s4e6567/s6e6567	true
query	match_pattern	a/s72666c	true
query	match_pattern	a/s43686172/s6f664e6174	true
query	match_pattern	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	pp_using_anonymous_constructor	Lean.ppUsingAnonymousConstructorAttr	a/s4c65616e/s70705573696e67416e6f6e796d6f7573436f6e7374727563746f7241747472
query	pp_using_anonymous_constructor	a/s53756274797065	true
query	pp_using_anonymous_constructor	a/s416e64	true
query	pp_using_anonymous_constructor	a/s46696e	true
query	pp_using_anonymous_constructor	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
binding	pp_nodot	Lean.ppNoDotAttr	a/s4c65616e/s70704e6f446f7441747472
query	pp_nodot	a/s5f6672616e6b656e4c65616e416273656e7454616750726f6265	false
